gutenberg_id,title,author,gutenberg_author_id,language,gutenberg_bookshelf,rights,has_text
145,Middlemarch,"Eliot, George",90,en,Historical Fiction/Best Books Ever Listings/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
146,"A Little Princess
Being the whole story of Sara Crewe now told for the first time","Burnett, Frances Hodgson",73,en,Children's Literature/School Stories/Category: Children & Young Adult Reading/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
155,The Moonstone,"Collins, Wilkie",98,en,"Detective Fiction/Mystery Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
159,The island of Doctor Moreau,"Wells, H. G. (Herbert George)",30,en,Science Fiction/Best Books Ever Listings/Movie Books/Category: Science-Fiction & Fantasy/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
164,Twenty Thousand Leagues under the Sea,"Verne, Jules",60,en,Science Fiction/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Classics of Literature/Category: French Literature,Public domain in the USA.,TRUE
173,The Insidious Dr. Fu Manchu,"Rohmer, Sax",110,en,"Crime Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
174,The Picture of Dorian Gray,"Wilde, Oscar",111,en,Gothic Fiction/Movie Books/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
175,The Phantom of the Opera,"Leroux, Gaston",112,en,"Opera/Gothic Fiction/Movie Books/Category: Crime, Thrillers and Mystery/Category: Novels/Category: French Literature",Public domain in the USA.,TRUE
201,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott",64,en,Mathematics/Science Fiction/Category: Science-Fiction & Fantasy/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
204,The innocence of Father Brown,"Chesterton, G. K. (Gilbert Keith)",80,en,"Detective Fiction/Category: Short Stories/Category: Crime, Thrillers and Mystery/Category: British Literature",Public domain in the USA.,TRUE
209,The Turn of the Screw,"James, Henry",113,en,"Opera/Best Books Ever Listings/Horror/Gothic Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
223,The wisdom of Father Brown,"Chesterton, G. K. (Gilbert Keith)",80,en,"Detective Fiction/Category: Short Stories/Category: Crime, Thrillers and Mystery/Category: British Literature",Public domain in the USA.,TRUE
225,At the Back of the North Wind,"MacDonald, George",127,en,Children's Literature/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
236,The Jungle Book,"Kipling, Rudyard",132,en,Scouts/Children's Literature/Movie Books/Contemporary Reviews/Category: Short Stories/Category: Children & Young Adult Reading/Category: Adventure/Category: British Literature/Nobel Prizes in Literature,Public domain in the USA.,TRUE
244,A Study in Scarlet,"Doyle, Arthur Conan",69,en,"Detective Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: British Literature",Public domain in the USA.,TRUE
271,Black Beauty : $b The autobiography of a horse,"Sewell, Anna",154,en,Children's Literature/Best Books Ever Listings/Category: Children & Young Adult Reading/Category: Novels/Category: Classics of Literature/Category: British Literature,Public domain in the USA.,TRUE
285,The Lost Continent,"Hyne, Charles John Cutcliffe Wright",4423,en,Science Fiction/Category: Science-Fiction & Fantasy/Category: Adventure/Category: Novels,Public domain in the USA.,TRUE
289,The Wind in the Willows,"Grahame, Kenneth",153,en,Children's Literature/Best Books Ever Listings/Category: Children & Young Adult Reading/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
296,The Cash Boy,"Alger, Horatio, Jr.",168,en,Children's Fiction/Category: Children & Young Adult Reading/Category: Novels/Category: American Literature,Public domain in the USA.,TRUE
305,The Count's Millions,"Gaboriau, Emile",172,en,"Detective Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: French Literature",Public domain in the USA.,TRUE
316,The Golden Road,"Montgomery, L. M. (Lucy Maud)",36,en,Canada/Children's Literature/Category: Children & Young Adult Reading/Category: Novels,Public domain in the USA.,TRUE
322,St. Ives: Being the Adventures of a French Prisoner in England,"Stevenson, Robert Louis",35,en,Historical Fiction/Category: Historical Novels/Category: Romance/Category: Adventure/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
345,Dracula,"Stoker, Bram",190,en,"Horror/Gothic Fiction/Mystery Fiction/Movie Books/Category: Science-Fiction & Fantasy/Category: Crime, Thrillers and Mystery/Category: Novels/Category: Classics of Literature/Category: British Literature",Public domain in the USA.,TRUE
419,The Magic of Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Adventure,Public domain in the USA.,TRUE
420,Dorothy and the Wizard in Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Adventure/Category: American Literature,Public domain in the USA.,TRUE
421,Kidnapped,"Stevenson, Robert Louis",35,en,Children's Literature/Adventure/Historical Fiction/Best Books Ever Listings/Movie Books/Category: Historical Novels/Category: Adventure/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
434,The Circular Staircase,"Rinehart, Mary Roberts",183,en,"Detective Fiction/Category: Crime, Thrillers and Mystery/Category: Novels/Category: American Literature",Public domain in the USA.,TRUE
436,"The Master Key
An Electrical Fairy Tale Founded Upon the Mysteries of Electricity","Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: American Literature,Public domain in the USA.,TRUE
456,"The Door in the Wall, and Other Stories","Wells, H. G. (Herbert George)",30,en,Science Fiction/Category: Short Stories/Category: Science-Fiction & Fantasy/Category: British Literature,Public domain in the USA.,TRUE
471,The Bride of Lammermoor,"Scott, Walter",59,en,Opera/Historical Fiction/Category: Historical Novels/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
479,Little Lord Fauntleroy,"Burnett, Frances Hodgson",73,en,Children's Literature/Category: Children & Young Adult Reading/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
485,The Road to Oz,"Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Adventure,Public domain in the USA.,TRUE
486,"Ozma of Oz
A Record of Her Adventures with Dorothy Gale of Kansas, the Yellow Hen, the Scarecrow, the Tin Woodman, Tiktok, the Cowardly Lion, and the Hungry Tiger; Besides Other Good People too Numerous to Mention Faithfully Recorded Herein","Baum, L. Frank (Lyman Frank)",42,en,Children's Literature/Fantasy/Category: Children & Young Adult Reading/Category: Science-Fiction & Fantasy/Category: Adventure/Category: American Literature,Public domain in the USA.,TRUE
496,The Little Lame Prince,"Craik, Dinah Maria Mulock",264,en,Children's Literature/Category: Children & Young Adult Reading/Category: Novels/Category: British Literature,Public domain in the USA.,TRUE
498,Rebecca of Sunnybrook Farm,"Wiggin, Kate Douglas Smith",266,en,"Children's Literature/Bestsellers, American, 1895-1923/Category: Children & Young Adult Reading/Category: Novels/Category: American Literature",Public domain in the USA.,TRUE
501,The Story of Doctor Dolittle,"Lofting, Hugh",269,en,Children's Literature/Category: Children & Young Adult Reading/Category: Adventure/Category: Novels,Public domain in the USA.,TRUE
